decode;encode
10000;33
20000;36
30000;29
40000;36
50000;29
60000;35
70000;33
80000;35
90000;42
100000;36
110000;41
120000;38
130000;45
140000;47
150000;52
160000;52
170000;52
180000;53
190000;56
200000;59
210000;50
220000;50
230000;56
240000;59
250000;64
260000;62
270000;65
280000;67
290000;67
300000;67
310000;70
320000;70
330000;67
340000;73
350000;76
360000;73
370000;74
380000;76
390000;80
400000;80
