decode;encode
î;Ð
å;ô
è;Û
í;Ï
à;Ò
ò;ä
ñ;þ
ð;Ì
â;õ
ë;ÿ
ì;à
ä;×
ê;ð
ï;Å
ÿ;É
ó;ë
û;ö
÷;Ø
ü;Â
ç;Þ
ã;ß
á;î
é;Ä
æ;Æ
õ;À
þ;Ê
ø;Ó
ö;Ë
ù;Ú
ý;Ù
Â;Ö
ô;û
Ï;÷
Í;Ô
Ñ;â
Ý;è
Ò;ü
Ê;ø
Î;æ
ú;ê
Á;Î
È;á
Ã;å
Ì;ý
Ä;ç
À;ì
Ç;Õ
Ð;¸
Ë;ò
Å;ñ
×;Á
Õ;Í
Ó;é
Ô;È
ß;ú
Ø;ù
¸;Ã
Þ;Ñ
Ö;í
Æ;ï
Ü;ó
Û;ã
Ú;Ý
Ù;Ü
É;Ç
¨;¨
